file,model_pair,strategy,dvfs_condition,dataset,rep,wall_time_s,total_tokens,alpha_mean,gpu_energy_Wh,total_energy_Wh,tokens_per_s,gpu_wh_per_1k,total_wh_per_1k,edp_gpu,edp_total,sm_clock_levels,clock_toggled,power_mw_mean,temp_c_max,f_high,f_low,batch_size,max_model_len,sm_count,sm_total
llama_8b_1b_base__spec_g18__adaptive_entropy__humaneval__rep0.json,llama_8b_1b_base,spec_g18,adaptive_entropy,humaneval,0,57.10376453399658,8844,0.756232917409388,3.074263014963996,5.9062763907485225,154.87595383899335,0.3476100197833555,0.6678286285333019,175.55199132207844,337.27061629000684,20,True,191120.55674157303,55,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g18__off__cnndm__rep0.json,llama_8b_1b_base,spec_g18,off,cnndm,0,68.72102665901184,7916,0.7401939476734559,6.828503518354012,10.138814905757537,115.1903629041887,0.862620454567207,1.2808002660128268,469.26177232596217,696.7497694293503,11,True,346194.3836193448,77,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g18__off__gsm8k__rep0.json,llama_8b_1b_base,spec_g18,off,gsm8k,0,63.61492300033569,12964,0.7293743678659154,6.0379409414600405,9.104413079198558,203.78866134808635,0.46574675574360075,0.7022842547977906,384.10314807155487,579.1765369964654,12,True,330171.3514419852,73,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g18__off__humaneval__rep0.json,llama_8b_1b_base,spec_g18,off,humaneval,0,34.7115318775177,8844,0.7384057797277965,3.3174673761939277,5.049497205361772,254.7856438951393,0.3751093822019366,0.5709517418997934,115.15437458138052,175.2757832093517,11,True,321003.9822261072,72,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g18__two_level__cnndm__rep0.json,llama_8b_1b_base,spec_g18,two_level,cnndm,0,123.60934090614319,7916,0.7278226915250509,6.44825293637602,12.293435542734887,64.04046766992015,0.8145847569954549,1.5529857936754532,797.0642954615423,1519.5834649096141,22,True,189126.32135193134,65,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g18__two_level__gsm8k__rep0.json,llama_8b_1b_base,spec_g18,two_level,gsm8k,0,99.85902237892151,12964,0.7293743678659154,5.471420210465983,10.22593888441159,129.82302140719207,0.4220472238866077,0.7887950389086387,546.3706732414059,1021.1522599039406,22,True,197972.12028745163,64,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g18__two_level__humaneval__rep0.json,llama_8b_1b_base,spec_g18,two_level,humaneval,0,56.94046139717102,8844,0.7455740477931163,3.0771932950859893,5.850148723660079,155.32013234510597,0.34794134951221045,0.6614822166056173,175.21680603047727,333.11016756727605,21,True,193921.59988745075,63,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g5__adaptive_alpha__cnndm__rep0.json,llama_8b_1b_base,spec_g5,adaptive_alpha,cnndm,0,70.77233791351318,7890,0.7299500084255462,3.5861384244639805,6.991972044493227,111.48423568600937,0.4545169105784512,0.8861815012031974,253.7994003807986,494.8382082147123,22,True,180851.434388445,54,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g5__adaptive_alpha__gsm8k__rep0.json,llama_8b_1b_base,spec_g5,adaptive_alpha,gsm8k,0,55.10476231575012,13084,0.7345029239766082,2.929902343919988,5.670389352599751,237.4386432342947,0.22393016997248455,0.4333834723784585,161.4515722700701,312.4654575127695,22,True,189559.7662898253,54,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g5__adaptive_alpha__humaneval__rep0.json,llama_8b_1b_base,spec_g5,adaptive_alpha,humaneval,0,38.05679678916931,8991,0.7574789281670651,2.020095504963959,3.917818827321064,236.25214833001326,0.2246797358429495,0.43574895198766145,76.87836412712775,149.09963496813936,17,True,186494.61348122868,53,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g5__adaptive_entropy__cnndm__rep0.json,llama_8b_1b_base,spec_g5,adaptive_entropy,cnndm,0,70.7855441570282,7890,0.722625322997416,3.5721828577439663,6.981538962733224,111.46343641149522,0.4527481442007562,0.8848591841233491,252.8589074138147,494.1920345305655,21,True,179274.82924209881,54,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g5__adaptive_entropy__gsm8k__rep0.json,llama_8b_1b_base,spec_g5,adaptive_entropy,gsm8k,0,55.17012405395508,13084,0.7345029239766082,2.9286167873360247,5.618532736401218,237.1573423906779,0.2238319158771037,0.4294201113116186,161.57215146382387,309.9751480684629,21,True,188598.1134126333,54,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g5__adaptive_entropy__humaneval__rep0.json,llama_8b_1b_base,spec_g5,adaptive_entropy,humaneval,0,38.00404596328735,8991,0.7622549764473484,2.006100493767926,3.9039923201743814,236.58007383438806,0.22312317804114404,0.4342111355994196,76.23993537212972,148.36750357622802,19,True,186296.06395679363,53,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g5__off__cnndm__rep0.json,llama_8b_1b_base,spec_g5,off,cnndm,0,37.48384094238281,7890,0.749221565028214,3.788811364379918,5.649989388805621,210.4907021702467,0.48020422869200485,0.7160949795697872,142.01920254310926,211.78330357614058,11,True,340795.97938703554,75,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g5__off__gsm8k__rep0.json,llama_8b_1b_base,spec_g5,off,gsm8k,0,32.419447898864746,13084,0.7345029239766082,3.1572089146540416,4.784877983379165,403.58491115631153,0.24130303536029055,0.3657045233398934,102.35496991445801,155.12310248458584,11,True,325070.3980222497,71,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g5__off__humaneval__rep0.json,llama_8b_1b_base,spec_g5,off,humaneval,0,21.939568281173706,8991,0.7441697983380088,2.1373047653980293,3.291680124909825,409.80751693802273,0.23771602328973743,0.36610834444553725,46.891543838128015,72.2180408602415,13,True,314200.7310671256,70,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g5__two_level__cnndm__rep0.json,llama_8b_1b_base,spec_g5,two_level,cnndm,0,70.6653470993042,7890,0.7386687992125984,3.6058548291260095,7.001069533447825,111.65302830696332,0.45701582118200373,0.8873345416283682,254.80898308989168,494.73300864745426,20,True,183437.63657371746,63,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g5__two_level__gsm8k__rep0.json,llama_8b_1b_base,spec_g5,two_level,gsm8k,0,55.10061192512512,13084,0.7345029239766082,2.9494606928999745,5.6347376420911335,237.45652802875455,0.22542499945735056,0.43065863971959134,162.51708902789213,310.4774921167581,20,True,192595.28500925354,62,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g5__two_level__humaneval__rep0.json,llama_8b_1b_base,spec_g5,two_level,humaneval,0,38.02856707572937,8991,0.7515956948993917,2.000774378396075,3.9474264098303253,236.4275251837781,0.22253079506129186,0.43904197640199366,76.08658265223588,150.1149700027381,20,True,188763.08698123935,59,1935,735,8,2048,82,82
